manmo,lat,long,aircraftType,location,date,year,timeOfYear,ntsbID,no_injuries,minor_injuries,serious_injuries,fatal_injuries,total_injuries_exc_fatal,total_injuries_inc_fatal, total_uninjured
Piper PA 46,34.92388888888889,-83.45333333333333,fixed,"Clayton, GA",07/26/2014,2014,summer,ERA14FA359,0,0,0,1,0,1,0
Air Tractor AT-400/1/2,39.02388888888889,-99.45722222222223,fixed,"Ellis, KS",07/17/2014,2014,summer,CEN14LA376,0,0,0,1,0,1,0
Cessna 210,44.588055555555556,-92.41472222222222,fixed,"Bay City, WI",10/24/2014,2014,fall,CEN15FA027,0,0,0,1,0,1,0
Beech BE 100,29.5175,-95.26027777777777,fixed,"Pearland, TX",02/19/2014,2014,fall,CEN14FA145,0,0,0,1,0,1,0
Grumman G-21,45.692499999999995,-113.95166666666667,fixed,"Sula, MT",06/17/2014,2014,summer,WPR14FA231,0,0,0,1,0,1,0
Vans RV-7A,40.88361111111111,-93.18388888888889,fixed,"Russell, IA",08/09/2014,2014,summer,CEN14LA424,0,0,0,2,0,2,0
Piper PA 28,27.168055555555558,-80.14250000000001,fixed,"Stuart, FL",02/07/2014,2014,fall,ERA14LA117,0,0,0,1,0,1,0
Cessna 172,35.455000000000005,-88.70694444444445,fixed,"Pinson, TN",02/14/2014,2014,fall,ERA14LA122,1,0,1,0,1,1,1
Columbia LC-40-550FG,40.788888888888884,-72.9725,fixed,"East Patchogue, NY",06/17/2014,2014,summer,ERA14FA292,0,0,0,1,0,1,0
Beech BE 58,41.70722222222223,-87.83361111111111,fixed,"Palos Hills, IL",10/12/2014,2014,fall,CEN15FA009,0,0,0,3,0,3,0
Mooney MK 20,44.39861111111111,-109.90194444444445,fixed,"Cody, WY",05/06/2014,2014,spring,WPR14FA188,0,0,0,2,0,2,0
Cessna 182,47.558611111111105,-121.87805555555555,fixed,"Fall City, WA",07/08/2014,2014,summer,WPR14FA286,0,0,0,1,0,1,0
Beech BE 35,38.17388888888889,-122.70472222222223,fixed,"Novato, CA",08/18/2014,2014,summer,WPR14FA349,0,0,0,1,0,1,0
